model,c_harrell,c_uno,td_auc_12mo,td_auc_24mo,td_auc_60mo,ibs
IMDC-Cox,0.6936013379583746,0.6942229359852367,0.7693146727732747,0.7489441842940419,0.8035304196871242,0.1575719822414011
MSKCC-Cox,0.6976895441030724,0.698588702055812,0.7730016834262659,0.7548049094877888,0.8131043426487242,0.15510517590916992
Cox (Ridge),0.7691402378592666,0.7666916399214819,0.9217464145696107,0.8385727429633749,0.7960049551950102,0.13583188772601473
CoxNet (ElasticNet),0.7653617443012884,0.7617674785907768,,,,
Random Survival Forest,0.7543979187314173,0.7511051476427719,0.9079959573549564,0.8431081494944777,0.7630720260405083,0.1380241175153901
Gradient Boosted Survival,0.759167492566898,0.7550352080563787,0.8982529740111009,0.8352648126737088,0.7598098311672882,0.13609073915702416
