model,f1_macro_mean,f1_macro_std,f1_pos_mean,f1_pos_std,auc_mean,auc_std,brier_mean,brier_std,acc_mean,acc_std
IMDC-LR,0.7056773725678671,0.04605935646880984,0.7690144462279294,0.037604179974687374,0.7295616473733784,0.04414439684878626,0.19288779731418057,0.014488094844423335,0.719348134152102,0.044498088956291315
MSKCC-LR,0.708623019330186,0.04074023155413101,0.7743739509402661,0.031435640512717834,0.7324916960941995,0.04093692492448295,0.19163757292792286,0.01366674142142358,0.7234766178554559,0.0385823844714681
Logistic Regression,0.7672737312172314,0.06704078126033813,0.8427243526225746,0.042457044138142566,0.8467374397605418,0.04349068193774189,0.15085551732400454,0.026861011636371588,0.7921681624940954,0.058122668434217
SVM (RBF),0.7494245598905688,0.05392879215964477,0.8362362590601016,0.03457070685138608,0.8345792867412916,0.04031234114478608,0.1552108995620064,0.02201218165338202,0.779773264052905,0.04688247377285523
Random Forest,0.7730296459683659,0.042940800425264845,0.8534787034430996,0.0290141802254015,0.8414071849244783,0.03864140605274821,0.15056885720434607,0.016588018948015645,0.8018138875767595,0.038054825467516394
Gradient Boosting,0.7578777822758431,0.0424928305045916,0.834411571617397,0.0260384362510219,0.8278126938762309,0.04083564282046897,0.16338281090716766,0.028233708389003697,0.782598016060463,0.0356450895836709
XGBoost,0.7672092325355375,0.045815568597916814,0.8388268138268138,0.0296780056227782,0.8248076306744174,0.04620384155723601,0.1636828288435936,0.029909018398712617,0.789466225791214,0.03996214367307958
LightGBM,0.7551666719785004,0.023680830283783694,0.8280060999246309,0.013672479217934887,0.813867620696989,0.04224058246047974,0.17719956712005303,0.02602179576093294,0.7771280113367973,0.01921979124801612
