model,c_mean,c_lo,c_hi
IMDC-Cox,0.6936503698466777,0.6537625978711719,0.7306495264974706
MSKCC-Cox,0.697935177141715,0.661475135163349,0.73528564256528
Cox (Ridge),0.7690776554998033,0.7327778723416006,0.803633145553999
CoxNet (ElasticNet),0.7664409815312943,0.7307774080718736,0.7997799544536328
Random Survival Forest,0.7545779670217514,0.7174068023152776,0.7878821703387795
Gradient Boosted Survival,0.7591195993952997,0.7223884508330107,0.7924528624417824
