model,delta,lo,hi,p
MSKCC-Cox,0.004142713399295711,0.0,0.012235458556275575,0.29
Cox (Ridge),0.07629777668527918,0.0340539900239609,0.11547180417749717,0.0
CoxNet (ElasticNet),0.07247565126580846,0.033472037141781985,0.11044665424356721,0.0
Random Survival Forest,0.061177729904845254,0.020499029024756046,0.10042396944889977,0.002
Gradient Boosted Survival,0.0660514807239181,0.023378708716611973,0.10670835177413199,0.0
