model,brier,ece
IMDC (Heng),0.27472527472527475,0.24175824175824176
MSKCC,0.27197802197802196,0.23626373626373628
Logistic Regression,0.13934897513101732,0.09245767398643727
Random Forest,0.14666404832580376,0.05537873254485982
Gradient Boosting,0.16365166421508276,0.10553719085029516
SVM (RBF),0.14220326656461585,0.08360077486851397
XGBoost,0.16308873891830444,0.08993372984312394
LightGBM,0.1636530473560945,0.10053551570917485
