model,f1_macro,f1_macro_lo,f1_macro_hi,auc,auc_lo,auc_hi,brier,brier_lo,brier_hi
IMDC-LR,0.6743703991033531,0.6053027320489566,0.7451045776019577,0.7290774754104666,0.6581223625123911,0.7931255273882437,0.19470180107268628,0.16866098131938986,0.22283221328794095
MSKCC-LR,0.6735217604967834,0.6006078126660274,0.7432345774015647,0.7334800738552912,0.66571920189099,0.8003073781949774,0.1938826698573957,0.16852323210876607,0.22152043007473957
Logistic Regression,0.7662311329437648,0.697193287037037,0.8313067064749627,0.8829906975746291,0.8296955054544342,0.9268410163482815,0.13914326963573878,0.10883050758371916,0.16958581172690362
SVM (RBF),0.7797280466435204,0.7158045117777999,0.8399170360073837,0.8729464003695655,0.8203456297088442,0.9185836054935586,0.14210550700749935,0.11554716420072726,0.1735270495974718
Random Forest,0.7771646579561378,0.71080306871964,0.8383879781420764,0.8587879483726738,0.8018502633807753,0.9096750433064785,0.1463800842080769,0.12193456089907753,0.17182017661217305
Gradient Boosting,0.7393913178743217,0.6739693864711999,0.8037200126068822,0.8482241567319617,0.7869776483022476,0.8989690748877003,0.16563281719504924,0.124829995670081,0.2060975766502026
XGBoost,0.7721093798536938,0.7066007587245424,0.8335994510528048,0.8396627325123173,0.7794988035836843,0.8986228337488842,0.16433015920221805,0.12574582025408745,0.20441132485866542
LightGBM,0.7568483603345272,0.6882311744674128,0.8228705272245777,0.8548271757708485,0.7975991588293708,0.9039607939279887,0.16143292974549325,0.12420075135523533,0.2006662783408324
