model,delta_auc,delta_lo,delta_hi,p_two_sided
MSKCC-LR,0.0032214872790666746,0.0,0.008657499808952791,0.254
Logistic Regression,0.15194796870857358,0.08565145864780338,0.21302128037410833,0.0
SVM (RBF),0.1427316524470532,0.07366299979444972,0.20806507285105305,0.0
Random Forest,0.12879044965807243,0.06263047734767888,0.19265451914120524,0.0
Gradient Boosting,0.11724722120618261,0.042303842601969455,0.1867729530862327,0.002
XGBoost,0.10959718626756279,0.0354502675559548,0.18104869257087008,0.008
LightGBM,0.12401920899648412,0.052618679050567434,0.19330592982807154,0.0
