variant,model,n_features,c_index,delta_vs_imdc,delta_lo,delta_hi
baseline,Cox (Ridge),30,0.7691402378592666,0.07629777668527918,0.0340539900239609,0.11547180417749717
baseline,RSF,30,0.7543979187314173,0.061177729904845254,0.020499029024756046,0.10042396944889977
baseline,GBS,30,0.759167492566898,0.0660514807239181,0.023378708716611973,0.10670835177413199
minimal,Cox (Ridge),29,0.7604063429137761,0.06763074856714639,0.02739552650961104,0.10613174366435045
minimal,RSF,29,0.7524157581764123,0.05931891297085744,0.019934048224634075,0.09752936622158553
minimal,GBS,29,0.755822596630327,0.0625879031218416,0.018583938442679505,0.10232114199483755
strict,Cox (Ridge),27,0.761707135777998,0.06869185383209506,0.02755956047076779,0.1068366706595452
strict,RSF,27,0.7472745292368682,0.054037287100517625,0.014534766614566787,0.09230254709297234
strict,GBS,27,0.752570614469772,0.05917382912659688,0.014128208932500835,0.0997027756916632
